2026-06-01 14:09:46,385 | INFO | MARKET REQUEST | symbol=BTCUSDT, side=BUY, quantity=0.001
2026-06-01 14:09:47,999 | INFO | MARKET RESPONSE | {'orderId': 13678286908, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'x-Cb7ytekJ85e1cf49be016eeb88e2b6', 'price': '0.00', 'avgPrice': '72832.300000', 'origQty': '0.0010', 'executedQty': '0.0010', 'cumQuote': '72.832300', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'time': 1780303184065, 'updateTime': 1780303184065}
2026-06-01 14:10:23,043 | INFO | MARKET REQUEST | symbol=BTCUSDT, side=SELL, quantity=0.001
2026-06-01 14:10:24,599 | INFO | MARKET RESPONSE | {'orderId': 13678344565, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'x-Cb7ytekJ3ccb959d3dc29e15808666', 'price': '0.00', 'avgPrice': '72820.200000', 'origQty': '0.0010', 'executedQty': '0.0010', 'cumQuote': '72.820200', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'time': 1780303220665, 'updateTime': 1780303220665}
2026-06-01 14:13:33,302 | INFO | LIMIT REQUEST | symbol=BTCUSDT, side=BUY, quantity=0.001, price=50000.0
2026-06-01 14:13:33,759 | INFO | LIMIT RESPONSE | {'orderId': 13678567267, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ57aab73c160ac5380062c2', 'price': '50000.00', 'avgPrice': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1780303410977}
2026-06-01 14:14:11,815 | INFO | LIMIT REQUEST | symbol=BTCUSDT, side=SELL, quantity=0.001, price=120000.0
2026-06-01 14:14:12,184 | INFO | LIMIT RESPONSE | {'orderId': 13678617285, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJa99047c70dd3c874163726', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1780303449404}
2026-06-01 14:20:30,861 | INFO | MARKET REQUEST | symbol=BTCUSDT, side=BUY, quantity=0.005
2026-06-01 14:20:32,256 | INFO | MARKET RESPONSE | {'orderId': 13679038744, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'x-Cb7ytekJc2b70bb3a9a5ae97ef43ac', 'price': '0.00', 'avgPrice': '72749.000000', 'origQty': '0.0050', 'executedQty': '0.0050', 'cumQuote': '363.745000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'time': 1780303828302, 'updateTime': 1780303828302}
2026-06-01 14:20:43,571 | INFO | MARKET REQUEST | symbol=BTCUSDT, side=SELL, quantity=0.005
2026-06-01 14:20:44,991 | INFO | MARKET RESPONSE | {'orderId': 13679054179, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'x-Cb7ytekJb839c932ad37ec2bfdcce6', 'price': '0.00', 'avgPrice': '72738.100000', 'origQty': '0.0050', 'executedQty': '0.0050', 'cumQuote': '363.690500', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'time': 1780303841037, 'updateTime': 1780303841037}
2026-06-01 14:21:33,661 | INFO | LIMIT REQUEST | symbol=BTCUSDT, side=BUY, quantity=0.005, price=50000.0
2026-06-01 14:21:33,904 | INFO | LIMIT RESPONSE | {'orderId': 13679116587, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ83617b31befe81c8e4f7de', 'price': '50000.00', 'avgPrice': '0.00', 'origQty': '0.0050', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1780303891107}
2026-06-01 14:22:07,025 | INFO | LIMIT REQUEST | symbol=BTCUSDT, side=SELL, quantity=0.005, price=120000.0
2026-06-01 14:22:07,404 | INFO | LIMIT RESPONSE | {'orderId': 13679153105, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJf173e54b88d98ea6f9ab69', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.0050', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1780303924604}
